Country,Province,Confirmed Case,Deaths,Recovered
China,Hubei,67.800,3.144,59.433
China,Guangdong,1.407,8,1.329
China,Henan,1.273,22,1.250
China,Zhejiang,1.237,1,1.219
China,Hunan,1.018,4,1.014
China,Anhui,990,6,984
China,Jiangxi,936,1,934
China,Shandong,766,7,750
China,Jiangsu,633,0,631
China,Chongqing,577,6,570
China,Sichuan,543,3,536
China,Beijing,514,8,400
China,Heilongjiang,484,13,466
China,Shanghai,394,4,328
China,Hebei,319,6,310
China,Hong Kong,317,4,100
China,Fujian,307,1,295
China,Guangxi,254,2,250
China,Shaanxi,248,3,239
China,Yunnan,176,2,172
China,Hainan,168,6,161
China,Guizhou,146,2,144
China,Tianjin,137,3,133
China,Gansu,136,2,114
China,Shanxi,133,0,133
China,Liaoning,126,2,124
China,Jilin,93,1,92
China,Xinjiang,76,3,73
China,Inner Mongolia,75,1,74
China,Ningxia,75,0,75
China,Macau,20,0,10
China,Qinghai,18,0,18
China,Tibet,0,0,1
Italy,Italy,53.578,4.825,6.072
Spain,Spain,28.572,1.720,2.125
US,New York,12.323,76,0
US,Washington,1.793,94,0
US,California,1.518,28,0
US,New Jersey,1.327,16,0
US,Michigan,809,8,0
US,Florida,763,13,0
US,Louisiana,763,20,0
US,Illinois,753,6,0
US,Texas,557,5,0
US,Georgia,555,20,0
US,Massachusetts,529,2,0
US,Colorado,475,6,0
US,Pennsylvania,405,2,0
US,Tennessee,371,1,0
US,North Carolina,283,0,0
US,Wisconsin,282,4,0
US,Ohio,250,3,0
US,Maryland,244,3,0
US,Connecticut,223,5,0
US,Indiana,201,4,0
US,South Carolina,174,3,0
US,Virginia,159,3,0
US,Nevada,157,2,0
US,Mississippi,140,1,0
US,Minnesota,137,1,0
US,Oregon,137,4,0
US,Utah,136,0,0
US,Alabama,131,0,0
US,Arkansas,122,0,0
US,Arizona,104,1,0
US,District of Columbia,98,1,0
US,Kentucky,87,3,0
US,Missouri,86,3,0
US,Maine,70,0,0
US,Iowa,69,0,0
US,Rhode Island,66,0,0
US,New Hampshire,65,0,0
